"","Species","Orders"
"6073","Pardalotus punctatus","Passeriformes"
"6085","Parophasma galinieri","Passeriformes"
"6097","Paroreomyza montana","Passeriformes"
"6109","Parus major","Passeriformes"
"6121","Parus monticolus","Passeriformes"
"6133","Passer ammodendri","Passeriformes"
"6145","Passer domesticus","Passeriformes"
"6157","Passer montanus","Passeriformes"
"6169","Pavo cristatus","Galliformes"
"6181","Pavo muticus","Galliformes"
"6193","Pelecanoides urinatrix","Procellariiformes"
"6205","Penelope pileata","Galliformes"
"6217","Penelopides panini","Bucerotiformes"
"6229","Perdix dauurica","Galliformes"
"6241","Perdix hodgsoniae","Galliformes"
"6253","Perdix perdix","Galliformes"
"6265","Pericrocotus ethologus","Passeriformes"
"6277","Petroica australis","Passeriformes"
"6289","Petroica goodenovii","Passeriformes"
"6301","Petroica macrocephala","Passeriformes"
"6313","Petroica phoenicea","Passeriformes"
"6325","Peucedramus taeniatus","Passeriformes"
"6337","Phaethon rubricauda","Pelecaniformes"
"6349","Phaethornis malaris","Apodiformes"
"6361","Phainopepla nitens","Passeriformes"
"6373","Phalacrocorax auritus","Pelecaniformes"
"6385","Phalacrocorax carbo","Pelecaniformes"
"6397","Phalcoboenus australis","Falconiformes"
"6409","Phasianus colchicus","Galliformes"
"6421","Phasianus versicolor","Galliformes"
"6433","Philesturnus carunculatus","Passeriformes"
"6445","Phoebastria albatrus","Procellariiformes"
"6457","Phoebastria immutabilis","Procellariiformes"
"6469","Phoebastria nigripes","Procellariiformes"
"6481","Phoenicopterus roseus","Phoenicopteriformes"
"6493","Phoenicopterus ruber","Phoenicopteriformes"
"6505","Phoenicurus auroreus","Passeriformes"
"6517","Phoenicurus frontalis","Passeriformes"
"6529","Phylloscopus borealis","Passeriformes"
"6541","Phylloscopus fuscatus","Passeriformes"
"6553","Phylloscopus inornatus","Passeriformes"
"6565","Phylloscopus proregulus","Passeriformes"
"6577","Phylloscopus tenellipes","Passeriformes"
"6589","Piaya cayana","Cuculiformes"
"6601","Pica pica","Passeriformes"
"6613","Picathartes gymnocephalus","Passeriformes"
"6625","Picumnus innominatus","Piciformes"
"6637","Picus canus","Piciformes"
"6649","Pinicola enucleator","Passeriformes"
"6661","Pionites leucogaster","Psittaciformes"
"6673","Piranga bidentata","Passeriformes"
"6685","Piranga erythrocephala","Passeriformes"
"6697","Piranga flava","Passeriformes"
"6709","Piranga hepatica","Passeriformes"
"6721","Piranga leucoptera","Passeriformes"
"6733","Piranga ludoviciana","Passeriformes"
"6745","Piranga lutea","Passeriformes"
"6757","Piranga olivacea","Passeriformes"
"6769","Piranga roseogularis","Passeriformes"
"6781","Piranga rubra","Passeriformes"
"6793","Piranga rubriceps","Passeriformes"
"6805","Pitta sordida","Passeriformes"
"6817","Platalea leucorodia","Pelecaniformes"
"6829","Platalea minor","Pelecaniformes"
"6841","Platysteira castanea","Passeriformes"
"6853","Ploceus nigricollis","Passeriformes"
"6865","Pluvialis squatarola","Charadriiformes"
"6877","Podoces hendersoni","Passeriformes"
"6889","Poicephalus senegalus","Psittaciformes"
"6901","Polioptila caerulea","Passeriformes"
"6913","Polyplectron bicalcaratum","Galliformes"
"6925","Polyplectron germaini","Galliformes"
"6937","Polyplectron malacense","Galliformes"
"6949","Polyplectron napoleonis","Galliformes"
"6961","Pomatorhinus ruficollis","Passeriformes"
"6973","Pomatostomus ruficeps","Passeriformes"
"6985","Porphyrio hochstetteri","Gruiformes"
"6997","Porzana paykullii","Gruiformes"
"7009","Porzana pusilla","Gruiformes"
"7021","Primolius couloni","Psittaciformes"
"7033","Primolius maracana","Psittaciformes"
"7045","Prodotiscus insignis","Piciformes"
"7057","Progne chalybea","Passeriformes"
"7069","Prosthemadera novaeseelandiae","Passeriformes"
"7081","Prunella fulvescens","Passeriformes"
"7093","Prunella himalayana","Passeriformes"
"7105","Prunella montanella","Passeriformes"
"7117","Prunella rubeculoides","Passeriformes"
"7129","Prunella strophiata","Passeriformes"
"7141","Pseudoleistes guirahuro","Passeriformes"
"7153","Pseudoleistes virescens","Passeriformes"
"7165","Pseudonestor xanthophrys","Passeriformes"
"7177","Pseudopodoces humilis","Passeriformes"
"7189","Psittacula alexandri","Psittaciformes"
"7201","Psittacula cyanocephala","Psittaciformes"
"7213","Psittacula derbiana","Psittaciformes"
"7225","Psittacula eupatria","Psittaciformes"
"7237","Psittacula roseata","Psittaciformes"
"7249","Psittirostra psittacea","Passeriformes"
"7261","Psittrichas fulgidus","Psittaciformes"
"7273","Psophia crepitans","Gruiformes"
"7285","Pterocles burchelli","Ciconiiformes"
"7297","Pteruthius melanotis","Passeriformes"
"7309","Ptilopachus petrosus","Galliformes"
"7321","Ptilorrhoa caerulescens","Passeriformes"
"7333","Ptilorrhoa leucosticta","Passeriformes"
"7345","Pucrasia macrolopha","Galliformes"
"7357","Pycnonotus jocosus","Passeriformes"
"7369","Pycnonotus melanicterus","Passeriformes"
"7381","Pycnonotus sinensis","Passeriformes"
"7393","Pycnonotus taivanus","Passeriformes"
"7405","Pycnonotus xanthorrhous","Passeriformes"
"7417","Pygoscelis adeliae","Sphenisciformes"
