"","species_name","Mutation_AG_midori","Mutation_CT_midori"
"522","Phylloscopus olivaceus","0.299719","0.117209"
"523","Phylloscopus poliocephalus","0.2678485","0.358663"
"524","Phylloscopus sibilatrix","0.203333","0.535653"
"525","Phylloscopus trivirgatus","0.287353","0.336001"
"526","Phylloscopus trochiloides","0.0772342","0.0665765"
"527","Phytotoma rutila","0.457977","0"
"528","Piaya cayana","0.236446","0.2655185"
"529","Pica hudsonia","0.163866","0.41754"
"530","Pica pica","0.1382945","0.4616175"
"531","Picoides villosus","0.230787875","0.206142775"
"532","Picumnus exilis","0.167101","0.529494"
"533","Picus viridis","0.222163","0.264897"
"534","Pinicola enucleator","0.300789","0.24613"
"535","Pionus menstruus","0.248123","0.2632285"
"536","Pipilo maculatus","0.144156","0.290778"
"537","Pipra aureola","0.214184","0.462555"
"538","Pipra fasciicauda","0.214404","0.299342"
"539","Pipra filicauda","0.14155","0.509547"
"540","Pipra mentalis","0.203728","0.262835"
"541","Piprites chloris","0.189041","0.511123"
"542","Piranga flava","0.19002","0.33288"
"543","Piranga rubra","0.242114","0.0898664"
"544","Pithys albifrons","0.230827","0.334086"
"545","Pitohui kirhocephalus","0.241178","0.394172"
"546","Platycercus elegans","0.228837","0.672189"
"547","Platyrinchus coronatus","0.282702","0.0374788"
"548","Platyrinchus mystaceus","0.151968","0.454959"
"549","Platysteira concreta","0.278125","0.316792"
"550","Plectrophenax nivalis","0.42103","0.413508"
"551","Pluvialis fulva","0","0"
"552","Podiceps auritus","0.0477115","0.11711"
"553","Poephila acuticauda","0.0940551666666667","0.4915"
"554","Pogoniulus bilineatus","0.1428685","0.2164775"
"555","Pogoniulus chrysoconus","0.244913","0.224584"
"556","Pogoniulus pusillus","0.1957605","0.2069705"
