Kingdom;Phylum;Class;Order;Family;Genus;Species;GenerationLength_d;FrT;Hib;Daily;Mars;Mono;residuals
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_fuscata;5118.76;0.165267755865842;0;0;0;0;-0.0171583861310241
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;Enhydra_lutris;5475;0.163396194577427;0;0;0;0;-0.017142633106888
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Philantomba;Philantomba_monticola;1818.1211;0.18353932033289;0;0;0;0;-0.0163731876996094
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan;Pan_troglodytes;7300;0.154985678867691;0;0;0;0;-0.0158845304121596
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;Gazella_spekei;2190;0.182344281226011;0;0;0;0;-0.0155980595863397
NA;NA;NA;NA;NA;Chlorocebus;Chlorocebus_cynosuros;4533.4825;0.170076549460225;0;0;0;0;-0.0154503184589525
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;Gazella_gazella;2190;0.182641846739507;0;0;0;0;-0.0153004940728428
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_mulatta;5058.9;0.167509718845045;0;0;0;0;-0.0152335538354878
Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus_rattus;546.1994;0.191544309068694;0;0;0;0;-0.0151066787214255
NA;NA;NA;NA;NA;Lepilemur;Lepilemur_hubbardorum;1637.7709666715;0.186047724693251;0;0;0;0;-0.0148202554588912
NA;NA;NA;NA;NA;Leopoldamys;Leopoldamys_edwardsi;639.631831820818;0.191567536085462;0;0;0;0;-0.0145884585376021
Animalia;Chordata;Mammalia;Diprotodontia;Phascolarctidae;Phascolarctos;Phascolarctos_cinereus;2746.4425;0.180429046134195;0;0;1;0;-0.0145653329266342
NA;NA;NA;NA;NA;Brachyphylla;Brachyphylla_cavernarum;2064.27635;0.1843195068167;0;0;0;0;-0.0142889019388096
NA;NA;NA;NA;NA;Mustela;Mustela_kathiah;1253.04;0.189186444830642;0;0;0;0;-0.0137197911599262
Animalia;Chordata;Mammalia;Primates;Megaladapidae;Lepilemur;Lepilemur_ruficaudatus;1637.7709666715;0.187262896377682;0;0;0;0;-0.0136050837744601
NA;NA;NA;NA;NA;Chlorocebus;Chlorocebus_pygerythrus;4533.4825;0.172030059991955;0;0;0;0;-0.013496807927223
NA;NA;NA;NA;NA;Mus;Mus_fragilicauda;628.295;0.192797243641055;0;0;0;0;-0.0134188120783331
Animalia;Chordata;Mammalia;Carnivora;Canidae;Urocyon;Urocyon_cinereoargenteus;1955.5492;0.185863895982419;0;0;0;0;-0.0133205354161346
NA;NA;NA;NA;NA;Papio;Papio_cynocephalus;6188.575;0.163553617682576;0;0;0;0;-0.0132047802055929
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Erignathus;Erignathus_barbatus;6935;0.15983882333633;0;0;0;0;-0.0129651096244128
Animalia;Chordata;Mammalia;Macroscelidea;Macroscelididae;Macroscelides;Macroscelides_proboscideus;995.97395;0.191760272155592;0;1;0;0;-0.0125078671457666
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Cercocebus;Cercocebus_torquatus;3285;0.179789330528516;0;0;0;0;-0.0123518392411553
NA;NA;NA;NA;NA;Chlorocebus;Chlorocebus_tantalus;4533.4825;0.173425536231699;0;0;0;0;-0.012101331687479
Animalia;Chordata;Mammalia;Carnivora;Felidae;Pardofelis;Pardofelis_marmorata;1821.16;0.187887890301575;0;0;0;0;-0.0120085180243656
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;Prionailurus_rubiginosus;2153.865;0.186284670014338;0;0;0;0;-0.0118491094424209
Animalia;Chordata;Mammalia;Soricomorpha;Talpidae;Galemys;Galemys_pyrenaicus;730;0.193907568914145;0;0;0;0;-0.0117696666217765
NA;NA;NA;NA;NA;Rattus;Rattus_exulans;534.7590666715;0.195022579794835;0;0;0;0;-0.0116890174294615
NA;NA;NA;NA;NA;Tapirus;Tapirus_indicus;4015;0.176652469611935;0;0;0;0;-0.0116212527959508
Animalia;Chordata;Mammalia;Primates;Hominidae;Gorilla;Gorilla_gorilla;8030;0.155556460333065;0;0;0;0;-0.0114463015849992
Animalia;Chordata;Mammalia;Perissodactyla;Rhinocerotidae;Ceratotherium;Ceratotherium_simum;6865.34583343;0.161934116085526;0;0;0;0;-0.0112388358104756
NA;NA;NA;NA;NA;Cricetulus;Cricetulus_kamensis;589.388299099621;0.195194240609484;0;0;0;0;-0.0112279378739487
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Arctonyx;Arctonyx_collaris;1798.679444554;0.188928155330932;0;0;0;0;-0.0110873521249423
Animalia;Chordata;Mammalia;Primates;Cebidae;Alouatta;Alouatta_seniculus;3833.157;0.178201488863704;0;0;0;0;-0.011035614682003
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rusa;Rusa_timorensis;1825;0.188980966967787;0;0;0;0;-0.0108950975254564
NA;NA;NA;NA;NA;Avahi;Avahi_laniger;3649.771875;0.179527388601993;0;0;0;0;-0.0106812660640862
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;Prionailurus_viverrinus;2190;0.187278156131866;0;0;0;0;-0.0106641846804848
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera_onca;3581.681316657;0.180134847415174;0;0;0;0;-0.0104345423882019
Animalia;Chordata;Mammalia;Perissodactyla;Rhinocerotidae;Diceros;Diceros_bicornis;6205;0.166293783095116;0;0;0;0;-0.0103775972274126
NA;NA;NA;NA;NA;Tonatia;Tonatia_saurophila;2064.27635;0.1882997334034;0;0;0;0;-0.0103086753521101
