Kingdom	Phylum	Class	Subclass	Infraclass	Superorder	Order (or infraorder for Cetacea)	Family	Species	AdultBodyMass_g	Sources_AdultBodyMass	GenerationLength_d	Sources_GL	FrT	residuals	Hib	Hib+unconfirmedHib	Daily	Daily+unconfirmedDaily	Mars	Mono	Temperature(C)_White2003,2006	Temperature(C)_White2003,2006+other	Temperature(C)_White2003,2006+other+close species	BMR(mL O2 h−1)_White2003,2006+other	BodyMassBMR(g)_White2003,2006+other	BMR(mL O2 h−1 g-1)_White2003,2006+other	Sourses_BodyT&BMR
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Rangifer_tarandus	109088,5	PanTHERIA	1825	GMA	0,240063714	0,040187649	0	0	0	0	0	0		37,20	37,20				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Raphicerus_campestris	11661,53	PanTHERIA	1744,588433	Rspan-AFR(SM+Gest)	0,191711286	-0,008590789	0	0	0	0	0	0		39,40	39,40				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_exulans	50,63	PanTHERIA	534,7590667	Mean_congenerics	0,19502258	-0,011689017	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_fuscipes	124,58	PanTHERIA	558,5072833	Rspan-AFB	0,173712536	-0,032873246	0	0	0	0	0	0	37,45	37,45	37,50	84,36	76,00	1,11	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_leucopus	200,89	PanTHERIA	534,7590667	Mean_congenerics_same_body_mass	0,162874643	-0,043836955	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_lutreolus	106	PanTHERIA	440,2920833	Rspan-AFB	0,162118986	-0,045093085	0	0	0	0	0	0	36,70	36,70	36,70	63,22	109,00	0,58	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_niobe	45,07	PanTHERIA	534,7590667	Mean_congenerics	0,16887728	-0,037834317	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_praetor	194,43	PanTHERIA	534,7590667	Mean_congenerics_same_body_mass	0,172177946	-0,034533651	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_rattus	142,68	PanTHERIA	546,1994	Rspan-AFB	0,191544309	-0,015106679	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_sordidus	157,5	PanTHERIA	534,7590667	Mean_congenerics_same_body_mass	0,168338674	-0,038372923	0	0	0	0	0	0				106,60	187,00	0,57	White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_tanezumi	140,84	PanTHERIA	534,7590667	Mean_congenerics_same_body_mass	0,20161702	-0,005094578	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_tiomanicus	119,29	PanTHERIA	534,7590667	Mean_congenerics_same_body_mass	0,204642829	-0,002068768	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_tunneyi	169,29	PanTHERIA	534,7590667	Mean_congenerics_same_body_mass	0,179567923	-0,027143674	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Rattus_villosissimus	221,76	PanTHERIA	534,7590667	Mean_congenerics_same_body_mass	0,174233106	-0,032478491	0	0	0	0	0	0	35,90	35,90	35,90	145,85	250,60	0,58	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Sciuridae	Ratufa_bicolor	1609,08	PanTHERIA	2327,157917	Rspan-AFR(SM+Gest)	0,224949595	0,0277339	0	0	0	0	0	0							
