"Species" "Temperature" "Longevity" "LongevityDummy" "AC_TGSkew" "Ectothermy"
"Dendrohyrax_dorsalis" NA 1675.3724 0 0.614763552479815 0
"Desmodus_rotundus" 35 2779.7975 1 0.610456176319836 0
"Dicerorhinus_sumatrensis" NA 7300 1 0.632882882882883 0
"Diceros_bicornis" 39 6205 1 0.603665521191294 0
"Didelphis_virginiana" 35 745.99 0 0.410564225690276 0
"Dipus_sagitta" 36.8 726.1971375 0 0.471264367816092 0
"Distoechurus_pennatus" NA 997.9661 0 0.515563101301641 0
"Dorcatragus_megalotis" NA 1825 0 0.49825378346915 0
"Dremomys_rufigenis" NA 1384.121263 0 0.519818799546999 0
"Dromiciops_gliroides" 35.15 998.6765636 0 0.430365296803653 0
"Dugong_dugon" 33 10246.2396 1 0.445111960677226 0
"Echinops_telfairi" 34.7 1967.0915 0 0.262736119061248 0
"Echinosorex_gymnura" 36.3 1202.925238 0 0.380454824830977 0
"Elaphodus_cephalophus" NA 2555 1 0.508120649651972 0
"Elaphurus_davidianus" NA 3530.65 1 0.509543088490457 0
"Elephas_maximus" 35.8 8030 1 0.419838523644752 0
"Enhydra_lutris" 37.5 5475 1 0.534246575342466 0
"Eospalax_rothschildi" NA 1032.923574 0 0.393974507531866 0
"Eothenomys_chinensis" NA 589.3882991 0 0.592656339644291 0
"Eothenomys_melanogaster" NA 589.3882991 0 0.579954954954955 0
"Eothenomys_miletus" NA 589.3882991 0 0.592 0
"Eozapus_setchuanus" NA 726.1971375 0 0.414333706606943 0
"Episoriculus_caudatus" NA 426.9101194 0 0.479343520090549 0
"Episoriculus_fumidus" NA 426.9101194 0 0.473684210526316 0
"Episoriculus_macrurus" NA 426.9101194 0 0.461404526987812 0
"Epomophorus_gambianus" NA 2349.856741 1 0.565752658086178 0
"Eptesicus_serotinus" 36 2400.9362 1 0.41852286049238 0
"Equus_grevyi" 38.3 2190 0 0.573660714285714 0
"Equus_hemionus" 38.3 1825 0 0.604296212549463 0
"Equus_kiang" 38.3 3704.385 1 0.607687959299039 0
"Equus_zebra" 38.3 4024.699367 1 0.559151785714286 0
"Eremitalpa_granti" 33.6 1036.557583 0 0.436720142602496 0
"Erignathus_barbatus" NA 6935 1 0.568876080691643 0
"Erinaceus_europaeus" 34 1608.5234 0 0.261770244821092 0
"Erythrocebus_patas" 39.3 3529.3359 1 0.458705357142857 0
"Eschrichtius_robustus" NA 10444.3345 1 0.627749576988156 0
"Eubalaena_australis" NA 9855 1 0.611518915866742 0
"Eubalaena_japonica" NA 9704.4375 1 0.602040816326531 0
"Euchoreutes_naso" NA 726.1971375 0 0.394780677401444 0
"Eudorcas_rufifrons" NA 1825 0 0.57454128440367 0
"Eulemur_mongoz" 36.5 4154.1015 1 0.481481481481481 0
"Eulemur_rufus" 36.5 3206.295944 1 0.473087818696884 0
"Eumetopias_jubatus" NA 3650 1 0.583762149799886 0
"Felis_chaus" NA 1903.782067 0 0.491681009753299 0
"Felis_margarita" NA 1730.465 0 0.511694238448374 0
"Felis_nigripes" NA 1685.3793 0 0.513112884834664 0
"Felis_silvestris" NA 2905.4 1 0.540308747855918 0
"Feresa_attenuata" NA 7142.099015 1 0.519818799546999 0
"Galago_moholi" NA 1930.5215 0 0.548672566371681 0
"Galago_senegalensis" 37.9 2167.5525 0 0.534216335540839 0
"Galemys_pyrenaicus" NA 730 0 0.495066744051074 0
"Galeopterus_variegatus" NA 2840.441639 1 0.589881593110872 0
"Gazella_cuvieri" NA 2022.515 0 0.549199084668192 0
"Gazella_gazella" 39.5 2190 0 0.540401146131805 0
"Gazella_leptoceros" NA 1729.8227 0 0.559885386819484 0
"Gazella_spekei" NA 2190 0 0.547428571428571 0
"Gazella_subgutturosa" 39.5 2496.146667 1 0.572002294893861 0
"Genetta_servalina" NA 2211.9 1 0.460571428571429 0
"Giraffa_camelopardalis" 37.1 5251.011667 1 0.556189389617798 0
"Glis_glis" 37.7 1152.9402 0 0.387802071346375 0
"Globicephala_macrorhynchus" NA 8650.5 1 0.50967007963595 0
"Globicephala_melas" NA 8760 1 0.513667425968109 0
"Gorilla_gorilla" 35.5 8030 1 0.576713819368879 0
"Grampus_griseus" NA 7300 1 0.513112884834664 0
"Gulo_gulo" 37 2622.30185 1 0.501416430594901 0
"Halichoerus_grypus" NA 5110 1 0.578947368421053 0
