Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Class
Turdus_ignobilis,0,0.0635183152452326,0,0.0339028300605453,0,0.220368395393545,0.582477969037436,0,0,0.0124665612829052,0.0872659289803362,0,Aves
Tregellasia_leucops,0,0.0482229846295861,0,0,0,0.220593561122656,0.614901577066822,0,0,0.0310085005815827,0.0852733765993525,0,Aves
Ficedula_hyperythra,0.00269947038700424,0.0253453902330606,0.00151747455073865,0.0712255390822905,0,0.221946392851486,0.451677059414149,0.0127915533713024,0.150021960049549,0.0455223960218915,0.0172527640385281,0,Aves
Dicrurus_forficatus,0.0366575986183784,0.0366575986183784,0.0183287993091892,0.0555279306344299,0,0.22211172253772,0.455260052406506,0,0,0,0.175456297875398,0,Aves
Vireo_flavoviridis,0,0.0454642915876489,0.00757738193127481,0.0186187098882752,0,0.223424518659303,0.610926418209032,0,0,0.0313295599081555,0.0626591198163109,0,Aves
Pomatorhinus_horsfieldii,0,0.0654654346636929,0.0109109057772822,0,0,0.224150258492515,0.59708991270851,0,0,0.01279793604475,0.0895855523132502,0,Aves
Vireo_gilvus,0.0143056071451657,0.0286112142903313,0,0.0172927154553068,0,0.224805300918988,0.579717699073142,0,0,0.00845421644481665,0.12681324667225,0,Aves
Carpodacus_erythrinus,0.00469150612952164,0.0233877619647946,0.00351862959714123,0.00967998373936264,0,0.225201591083205,0.670894835297981,0,0.0108725895388734,0.0139885750462892,0.0363218112692398,0.00144271633359077,Aves
Dicrurus_hottentottus,0,0.0111825451678691,0.0111825451678691,0.0563484094173145,0,0.225393637669258,0.608958249141504,0,0,0.0474188800561008,0.039515733380084,0,Aves
Lampornis_amethystinus,0,0.0780635665997002,0.0130105944332834,0,0,0.226225029737907,0.629831048702127,0,0,0,0.052869760526983,0,Aves
Corvus_corax,0.00568754336154156,0.0330395560576633,0.00682822021178411,0.0374726458213666,0.00575434350148038,0.226817361205192,0.487265996125174,0,0,0.0575463791218247,0.136154249621374,0.00343370497259869,Aves
Micrastur_gilvicollis,0,0.0251563824639751,0,0,0,0.227169791394829,0.719303055481388,0,0,0.0135391985882362,0.0148315720715716,0,Aves
Garrulax_canorus,0.000838468703035917,0.0416109839540115,0.00301633076627808,0.00376958900317307,0,0.227880284746724,0.680674845480532,0,0,0.00510390695271644,0.0350863411233087,0.00201924927022026,Aves
Basileuterus_rivularis,0.00816488706762918,0.0246422219707243,0.0114832077756857,0.0407966312606232,0.0107527302676235,0.228463984786133,0.486582564517721,0.0150320224739197,0.0467360873617793,0.0475400397469407,0.0755860736690596,0.00421954910216107,Aves
Terpsiphone_paradisi,0,0.0470401404972482,0.00784002341620803,0,0.0105327974163038,0.231721543158684,0.577548391660659,0,0,0.00544856973264772,0.11986853411825,0,Aves
